date,areaCode,cumCasesBySpecimenDate,newCasesBySpecimenDate
30/12/2020,S12000008,3535,102
30/12/2020,S12000038,6202,148
30/12/2020,W06000020,4795,81
30/12/2020,N09000003,14769,291
30/12/2020,E06000051,7587,193
30/12/2020,E08000008,12033,137
30/12/2020,S12000045,3216,50
30/12/2020,E06000027,2340,51
30/12/2020,E08000007,13044,200
30/12/2020,N09000002,7722,379
30/12/2020,N09000010,6351,250
30/12/2020,W06000005,5250,196
30/12/2020,E06000031,7680,149
30/12/2020,E06000006,6087,202
30/12/2020,E06000046,2249,292
30/12/2020,S12000039,2587,34
30/12/2020,E09000006,14770,652
30/12/2020,E08000029,8233,185
30/12/2020,E06000014,7451,193
30/12/2020,S12000034,3113,115
30/12/2020,E08000021,17786,127
30/12/2020,E06000005,4528,87
30/12/2020,E08000018,13782,140
30/12/2020,E06000026,5467,74
30/12/2020,E08000036,16516,176
30/12/2020,E08000002,11883,115
30/12/2020,S12000023,39,0
30/12/2020,E10000028,35956,879
30/12/2020,W06000010,7870,150
30/12/2020,S12000036,10689,223
30/12/2020,S12000047,6439,158
30/12/2020,E09000005,14031,546
30/12/2020,S12000040,4414,56
30/12/2020,W06000012,9320,84
30/12/2020,E08000034,22818,233
30/12/2020,E06000037,3496,107
30/12/2020,S12000020,463,27
30/12/2020,E06000020,5598,142
30/12/2020,E09000010,17588,765
30/12/2020,E08000016,12613,119
30/12/2020,E09000013,7372,295
30/12/2020,E09000026,19887,815
30/12/2020,S12000005,1134,26
30/12/2020,E06000040,4834,210
30/12/2020,E06000055,6833,293
30/12/2020,S12000029,12026,153
30/12/2020,E06000025,8842,187
30/12/2020,S12000033,4300,136
30/12/2020,S12000010,1683,30
30/12/2020,W06000004,2664,69
30/12/2020,S12000030,1763,17
30/12/2020,S12000021,3504,78
30/12/2020,E10000019,26023,409
30/12/2020,W06000019,5104,56
30/12/2020,E09000029,8782,461
30/12/2020,S12000013,106,9
30/12/2020,W06000014,5257,103
30/12/2020,E08000022,8328,100
30/12/2020,E09000020,5181,174
30/12/2020,E06000013,6242,74
30/12/2020,E06000030,6230,180
30/12/2020,E09000017,13828,626
30/12/2020,E08000015,12925,415
30/12/2020,W06000008,1274,20
30/12/2020,E06000007,10713,259
30/12/2020,E09000015,11326,448
30/12/2020,S12000027,139,19
30/12/2020,W06000016,17538,228
30/12/2020,S12000048,2448,60
30/12/2020,E08000004,16961,165
30/12/2020,E09000030,17571,862
30/12/2020,E06000021,13056,210
30/12/2020,E06000057,11577,220
30/12/2020,S12000011,2963,82
30/12/2020,E08000010,19695,238
30/12/2020,E06000038,5463,180
30/12/2020,E06000010,13213,159
30/12/2020,E06000047,24944,518
30/12/2020,E10000007,28456,538
30/12/2020,E08000033,9854,113
30/12/2020,W06000015,19969,286
30/12/2020,E10000025,18631,770
30/12/2020,E06000009,6369,76
30/12/2020,E08000011,9217,225
30/12/2020,E09000009,15357,624
30/12/2020,S12000049,25355,403
30/12/2020,E10000015,42107,1848
30/12/2020,E06000035,17665,600
30/12/2020,E10000024,31803,596
30/12/2020,E10000006,14759,511
30/12/2020,E06000059,5077,212
30/12/2020,E08000027,14737,422
30/12/2020,E08000023,7862,166
30/12/2020,E10000002,16947,668
30/12/2020,E10000018,26765,435
30/12/2020,E08000017,15147,167
30/12/2020,E06000034,10829,502
30/12/2020,E06000008,11950,178
30/12/2020,E08000037,9565,181
30/12/2020,E10000011,15990,790
30/12/2020,E09000031,14615,572
30/12/2020,E06000042,10967,488
30/12/2020,E06000015,10860,247
30/12/2020,E09000033,8167,323
30/12/2020,E06000024,6017,126
30/12/2020,E08000003,36321,360
30/12/2020,E06000043,7481,377
30/12/2020,E06000033,8690,468
30/12/2020,E09000027,6530,228
30/12/2020,E08000012,28434,548
30/12/2020,E10000012,64494,3028
30/12/2020,S12000041,1659,43
30/12/2020,E09000012,12899,462
30/12/2020,E09000008,16402,851
30/12/2020,S12000019,1937,37
30/12/2020,E10000029,14514,604
30/12/2020,E09000016,17632,653
30/12/2020,E09000011,11991,558
30/12/2020,E08000030,13206,388
30/12/2020,E06000016,22546,282
30/12/2020,E10000027,10177,318
30/12/2020,E10000020,19874,764
30/12/2020,E08000031,12748,391
30/12/2020,E06000002,7343,173
30/12/2020,E06000017,752,18
30/12/2020,E08000005,14964,126
30/12/2020,E06000032,10458,285
30/12/2020,E10000016,74197,2357
30/12/2020,E08000001,17424,162
30/12/2020,E06000049,12703,369
30/12/2020,E09000024,9052,406
30/12/2020,E08000013,9185,140
30/12/2020,E10000032,19399,1131
30/12/2020,E10000023,18048,434
30/12/2020,E10000021,23614,880
30/12/2020,E10000014,32150,1344
30/12/2020,E06000036,3926,183
30/12/2020,E09000002,13081,598
30/12/2020,E09000022,13253,536
30/12/2020,E06000003,5653,106
30/12/2020,E06000012,6139,68
30/12/2020,E06000045,6844,294
30/12/2020,E10000003,13352,517
30/12/2020,E08000025,56084,1353
30/12/2020,E06000050,12608,322
30/12/2020,E06000056,8596,289
30/12/2020,E09000025,19352,845
30/12/2020,E06000041,4711,178
30/12/2020,E06000052,6455,354
30/12/2020,E10000008,12585,238
30/12/2020,E09000014,11788,497
30/12/2020,E06000023,19287,328
30/12/2020,E09000032,12883,515
30/12/2020,E09000021,7365,279
30/12/2020,E06000011,12406,112
30/12/2020,E09000003,16917,715
30/12/2020,E09000018,12157,594
30/12/2020,E06000001,5675,140
30/12/2020,E08000026,12582,304
30/12/2020,E09000007,8137,360
30/12/2020,E10000031,18232,439
30/12/2020,E06000058,10828,427
30/12/2020,E06000018,20264,207
30/12/2020,E09000004,13593,544
30/12/2020,E08000035,42122,470
30/12/2020,E06000054,8187,226
30/12/2020,E10000034,16101,467
30/12/2020,E06000004,9891,162
30/12/2020,E09000023,11664,574
30/12/2020,E06000039,7726,330
30/12/2020,E08000006,15620,158
30/12/2020,E08000024,13898,298
30/12/2020,E06000019,3669,102
30/12/2020,E10000017,61143,1010
30/12/2020,E09000028,12345,552
29/12/2020,N09000001,4746,191
29/12/2020,N09000006,3534,149
29/12/2020,N09000008,4538,162
29/12/2020,W06000011,13993,245
29/12/2020,N09000007,4739,152
29/12/2020,S12000014,2769,79
29/12/2020,N09000011,3293,78
29/12/2020,S12000035,895,15
29/12/2020,W06000022,8165,231
29/12/2020,E08000019,29751,295
29/12/2020,E06000022,4843,135
29/12/2020,E10000013,12975,494
29/12/2020,W06000021,3051,61
29/12/2020,S12000006,1708,134
29/12/2020,W06000001,1173,27
29/12/2020,N09000005,8625,239
29/12/2020,W06000023,2444,48
29/12/2020,W06000006,6599,265
29/12/2020,S12000050,12371,268
29/12/2020,E08000032,33537,276
29/12/2020,W06000018,10280,203
29/12/2020,E08000028,16841,524
29/12/2020,W06000013,9629,333
29/12/2020,S12000017,1211,95
29/12/2020,S12000018,1523,120
29/12/2020,W06000024,5392,82
29/12/2020,E08000014,12443,326
29/12/2020,N09000004,4643,165
29/12/2020,S12000042,4260,129
29/12/2020,E08000009,10591,192
29/12/2020,W06000002,1761,22
29/12/2020,W06000003,2260,37
29/12/2020,E10000030,37624,1859
29/12/2020,S12000028,2438,56
29/12/2020,E06000044,7606,287
29/12/2020,S12000026,1594,93
29/12/2020,N09000009,6615,238
29/12/2020,S12000008,3433,89
29/12/2020,S12000038,6054,138
29/12/2020,W06000020,4714,112
29/12/2020,N09000003,14478,310
29/12/2020,E06000051,7394,164
29/12/2020,E08000008,11896,130
29/12/2020,S12000045,3166,68
29/12/2020,E06000027,2289,20
29/12/2020,E08000007,12844,189
29/12/2020,N09000002,7343,332
29/12/2020,W06000005,5054,179
29/12/2020,N09000010,6101,245
29/12/2020,E06000031,7531,239
29/12/2020,E06000006,5885,210
29/12/2020,E06000046,1957,319
29/12/2020,S12000039,2553,60
29/12/2020,E09000006,14118,893
29/12/2020,E08000029,8048,239
29/12/2020,E06000014,7258,226
29/12/2020,S12000034,2998,152
29/12/2020,E08000021,17659,147
29/12/2020,E06000005,4441,102
29/12/2020,W06000009,2136,53
29/12/2020,E08000018,13642,171
29/12/2020,E06000026,5393,123
29/12/2020,E08000036,16340,207
29/12/2020,E08000002,11768,138
29/12/2020,S12000023,39,0
29/12/2020,E10000028,35077,690
29/12/2020,W06000010,7720,185
29/12/2020,S12000036,10466,275
29/12/2020,S12000047,6281,139
29/12/2020,E09000005,13485,727
29/12/2020,S12000040,4358,67
29/12/2020,E08000034,22585,204
29/12/2020,E06000037,3389,141
29/12/2020,W06000012,9236,200
29/12/2020,S12000020,436,33
29/12/2020,E06000020,5456,128
29/12/2020,E09000019,8331,400
29/12/2020,E09000010,16823,902
29/12/2020,E08000016,12494,120
29/12/2020,E09000013,7077,294
29/12/2020,E09000026,19072,921
29/12/2020,S12000005,1108,14
29/12/2020,E06000040,4624,228
29/12/2020,E06000055,6540,358
29/12/2020,S12000029,11873,187
29/12/2020,E06000025,8655,227
29/12/2020,S12000033,4164,135
29/12/2020,S12000010,1653,17
29/12/2020,W06000004,2595,61
29/12/2020,S12000030,1746,28
29/12/2020,S12000021,3426,93
29/12/2020,E10000019,25614,515
29/12/2020,W06000019,5048,61
